,0
0,1777.098283038009
1,1510.0165545372292
2,371.47371134208515
3,-1339.1449471157975
4,1276.6596055934206
5,1587.0448967562988
6,-4167.809162302408
7,1224.9597289511003
8,-102.03999333851971
9,9036.85443595727
10,16437.697802766925
11,883.9253582861274
12,3580.7522197274957
13,-3215.872932937462
14,3479.599734626012
15,-9327.127291684737
16,9556.95713918237
17,-11966.06823933078
18,-19012.002562990412
19,1471.2994157976937
20,5234.104946449166
21,-6881.065272233216
22,-1387.9320699353702
23,-4399.564665800659
24,4915.606382562779
25,2118.1250485144556
26,-9224.187005702639
27,-2418.244730584789
28,587.1228433202486
29,-1412.0297744211275
30,-11641.444927480305
31,19581.055815462954
32,1246.9123997257557
33,2415.4298144341446
34,8570.229985905811
35,-2853.827070496278
36,1355.2887293347158
37,-567.0735380826518
38,10271.170245079324
39,6748.434531686362
40,8914.407481812174
41,2601.150946854148
42,10229.89433378051
43,-8891.18906782614
44,-10644.653251671465
45,4136.005827923305
46,10657.367097816896
47,6354.913215169217
48,6328.679834958632
49,8678.948853512295
50,-6796.461855453905
51,1610.5386766814627
52,8778.01011589053
53,-343.33002532995306
54,-1154.119295959128
55,3737.237441177247
56,2377.491283416748
57,4435.650095596444
58,779.629982604878
59,5659.248619537335
60,-6638.3582334900275
61,771.5302324674558
