,0
0,1204033.142313485
1,1210996.9727363144
2,1210879.4271841834
3,1218987.1480827038
4,1220524.3270462262
5,1223374.2647428773
6,1231529.4020462013
7,1224403.3343098622
8,1225795.9308602142
9,1222538.6005203691
10,1222413.837535298
11,1216791.9403686335
12,1218414.766445723
13,1217740.1224400327
14,1223485.5758522502
15,1239172.398758759
16,1239407.2777732017
17,1241641.6073597115
18,1235873.1281527756
19,1227761.4691252934
20,1256010.9033438442
21,1252357.2748066601
22,1266732.8723715479
23,1269719.1963092329
24,1274255.737243736
25,1274677.578950489
26,1285283.9097601492
27,1288885.4993886293
28,1300425.6137076034
29,1313388.2724473898
30,1321323.331643699
31,1320114.2590157196
32,1322289.1307257218
33,1329713.5020580776
34,1332864.899514881
35,1327957.8073037323
36,1325949.1834986424
37,1328405.8305155628
38,1326750.127283035
39,1353705.7089566572
40,1339177.6989122669
41,1343123.6012826862
42,1338154.7717076167
43,1336572.4901458889
44,1330769.2255907361
45,1329870.8626016178
46,1331260.9299721476
47,1331968.4063257433
48,1333149.649203653
49,1339916.41378458
50,1340683.672392331
51,1334999.4657156917
52,1340029.2670647579
53,1317967.3432087572
54,1317376.7081563233
55,1317959.0972703784
56,1318509.8353353548
57,1316710.1940001529
58,1334824.3830651813
59,1333065.9927029372
60,1336622.5315492766
61,1330595.9388426503
62,1327767.384245967
