,0
0,1510595.4394320487
1,1511073.2933550612
2,1514926.1946393377
3,1517029.9393671267
4,1513146.811149589
5,1517761.8025186812
6,1520087.0349471052
7,1520329.0567749282
8,1520681.2793022427
9,1523673.8974820375
10,1520918.5814005588
11,1521183.0830609016
12,1519584.6245786347
13,1528249.5243149
14,1535321.3628181233
15,1537465.1812549238
16,1533474.0777679435
17,1529160.5867762382
18,1533904.8514203927
19,1529233.1497672296
20,1528029.9278950475
21,1528029.9278950475
22,1528029.9278950475
23,1528029.9278950475
24,1528029.9278950475
25,1528029.9278950475
26,1528029.9278950475
27,1528029.9278950475
28,1528029.9278950475
29,1528029.9278950475
30,1528029.9278950475
31,1528029.9278950475
32,1528029.9278950475
33,1528029.9278950475
34,1528029.9278950475
35,1527348.4948544858
36,1527684.6118266915
37,1529516.982811013
38,1529158.1721324145
39,1529302.6012373012
40,1527130.3231759532
41,1526697.325352312
42,1526697.325352312
43,1526325.1452076419
44,1526674.4268888126
45,1525446.1406292045
46,1524506.6458186822
47,1526863.0594295808
48,1526378.241699119
49,1526378.241699119
50,1526378.241699119
51,1526378.241699119
52,1526829.324796448
53,1526672.6846568028
54,1528085.2966634636
55,1528560.5144887175
56,1527852.9956445822
57,1527229.088169238
58,1524210.383561997
59,1525690.7777368221
60,1525013.6160526318
61,1525013.6160526318
62,1525013.6160526318
