,0
0,1679177.2344410259
1,1678531.0107991132
2,1678341.7066742445
3,1678341.7066742445
4,1678341.7066742445
5,1678341.7066742445
6,1678341.7066742445
7,1678341.7066742445
8,1678341.7066742445
9,1678341.7066742445
10,1678341.7066742445
11,1678341.7066742445
12,1678341.7066742445
13,1678341.7066742445
14,1678341.7066742445
15,1678341.7066742445
16,1678341.7066742445
17,1678341.7066742445
18,1678341.7066742445
19,1678341.7066742445
20,1678341.7066742445
21,1678341.7066742445
22,1678341.7066742445
23,1678341.7066742445
24,1678341.7066742445
25,1678341.7066742445
26,1678341.7066742445
27,1678341.7066742445
28,1678174.7790441622
29,1677976.9258950502
30,1677976.9258950502
31,1677976.9258950502
32,1677976.9258950502
33,1677976.9258950502
34,1677976.9258950502
35,1677976.9258950502
36,1677976.9258950502
37,1677976.9258950502
38,1677976.9258950502
39,1677976.9258950502
40,1677976.9258950502
41,1677976.9258950502
42,1677976.9258950502
43,1677976.9258950502
44,1677976.9258950502
45,1677976.9258950502
46,1677976.9258950502
47,1677976.9258950502
48,1677976.9258950502
49,1677976.9258950502
50,1677976.9258950502
51,1677976.9258950502
52,1677976.9258950502
53,1677976.9258950502
54,1677976.9258950502
55,1677976.9258950502
56,1677976.9258950502
57,1677976.9258950502
58,1677976.9258950502
59,1677976.9258950502
60,1677976.9258950502
61,1677976.9258950502
62,1677976.9258950502
