,0
0,1360256.1124047893
1,1348504.7330559266
2,1349890.13864784
3,1351273.7350236364
4,1354029.284843381
5,1359710.6445795614
6,1365372.5435142212
7,1366656.1002910393
8,1366051.310141566
9,1357404.249710233
10,1362753.1159558506
11,1360653.3415898932
12,1359709.3225081724
13,1354455.4367427996
14,1364561.347897282
15,1378324.1456432624
16,1384653.4222749306
17,1383268.7938304925
18,1383561.7782157445
19,1384488.6922764694
20,1384477.6814773711
21,1383605.1177730015
22,1387489.1776015745
23,1389775.1223509207
24,1388654.4856482707
25,1386159.860537019
26,1374331.3581313768
27,1375612.3656085369
28,1384060.1509168462
29,1383508.9817282408
30,1386484.149041025
31,1369949.823372509
32,1363820.0692260251
33,1368731.2760718623
34,1380290.3853785002
35,1375276.3065417828
36,1374975.125146344
37,1378591.0419918087
38,1381846.025274156
39,1380847.5029310065
40,1381856.5646094924
41,1387777.9811654978
42,1392155.9199252063
43,1383403.7583457278
44,1386693.0199123665
45,1387227.9745181021
46,1387995.1220538635
47,1400515.8912521233
48,1399559.1647861425
49,1402399.359273904
50,1400204.8139017401
51,1401796.6158879767
52,1403414.3932729412
53,1405455.4899249573
54,1410105.7083243288
55,1407613.77554758
56,1406689.541461475
57,1398438.1333844636
58,1394425.274596393
59,1398898.070587909
60,1409209.1200652958
61,1410962.3196979405
62,1416491.0261205174
