,0
0,-388.6150759670418
1,416.48322131391615
2,10099.440132708289
3,-1167.1801861680578
4,0.0
5,0.0
6,0.0
7,402.60643216012977
8,-2886.8942649466917
9,-789.1474270815961
10,2875.6476104718167
11,-1693.4271326758899
12,-765.2974250081461
13,0.0
14,0.0
15,0.0
16,0.0
17,-1240.7696769821923
18,-205.52466268953867
19,-5476.09424252063
20,3691.234204016626
21,-1506.4455188245047
22,-473.9463908956386
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
