,0
0,1078216.2389568398
1,1073761.4155297151
2,1073439.4769347112
3,1087166.274565472
4,1091586.179545761
5,1101461.580087816
6,1102071.9832645964
7,1113082.2285851848
8,1113732.7144842506
9,1112755.666787753
10,1112432.4219956321
11,1114039.6226876401
12,1109301.377943372
13,1110676.5856658372
14,1104749.2087529572
15,1106326.3031517882
16,1112043.528211597
17,1106224.1383675828
18,1106749.6789016766
19,1102950.6578969094
20,1098219.0695871136
21,1101671.2023566756
22,1099631.7132089396
23,1115893.7805417106
24,1115167.196075202
25,1113678.9118474436
26,1111718.7762439726
27,1120348.0476461528
28,1117966.2426053141
29,1122902.2210616304
30,1119061.030952029
31,1121353.0331782722
32,1120882.3479331636
33,1121234.622081189
34,1120859.8147255993
35,1121693.2830841423
36,1118084.8238053632
37,1115869.1220462346
38,1113363.2924376368
39,1120169.0964172268
40,1115487.7449361086
41,1110828.5938377331
42,1112184.2750768445
43,1117323.0159078264
44,1120694.5603326177
45,1119244.7680950426
46,1117728.0991626831
47,1092714.991749873
48,1105654.676658671
49,1091736.8217585753
50,1088381.6754447098
51,1096043.025131945
52,1090593.8074185848
53,1092836.4438794288
54,1095242.9193843221
55,1110041.0378873583
56,1116532.5426378725
57,1109717.181727848
58,1097931.1577548534
59,1105224.6934643122
60,1111317.902440064
61,1100196.0553525472
62,1109044.1819962477
