,0
0,1102133.3325038608
1,1104212.8351459436
2,1092940.2089399842
3,1097057.811683836
4,1091445.8245425234
5,1101677.4684649764
6,1105703.9257901795
7,1106022.0260966332
8,1106090.2390507425
9,1113361.6968719908
10,1108138.7213683624
11,1108615.6069279534
12,1100907.8527960868
13,1103935.4515960314
14,1102770.400501649
15,1099515.5802107644
16,1097428.8919430377
17,1081274.269339309
18,1080516.0704733033
19,1090173.3059102134
20,1084028.6057603974
21,1080633.372696983
22,1079816.4591538254
23,1083899.3193835046
24,1082776.386779008
25,1093043.9890887628
26,1080150.4228061421
27,1079680.8891422858
28,1070334.9946990833
29,1082855.3073914323
30,1069503.9396109602
31,1071259.0415866273
32,1066392.6976796524
33,1069735.9709071915
34,1071223.3833656844
35,1085365.2843211081
36,1093355.1920054147
37,1092296.178703285
38,1094443.060398221
39,1087429.80114378
40,1086298.400505978
41,1083914.336144413
42,1077594.8682764028
43,1082203.4298268016
44,1082339.796057974
45,1083673.3583577534
46,1083247.283244365
47,1074628.8130537106
48,1066028.8182736584
49,1060700.325611036
50,1059152.10477077
51,1064745.2985276724
52,1055129.9809364504
53,1061993.4933103763
54,1066736.7256591741
55,1064564.9937909984
56,1078797.3418025572
57,1038408.9380834633
58,1024627.003678599
59,1043716.2354690863
60,1062243.3779555883
61,1077456.6393417777
62,1078216.2389568398
