,0
0,-7434.342720209155
1,9947.731649592286
2,-1259.570307563059
3,-1829.8042824470904
4,5875.739275473403
5,-10367.417069108924
6,1282.8605266020168
7,-2085.254255234031
8,1289.6854465173092
9,-2174.364032278303
10,3451.878027745057
11,4211.326488019433
12,-5863.055669908179
13,-1183.4926646528766
14,8728.64551453502
15,-5354.269942824263
16,8350.383780191652
17,-8127.654605720891
18,-194.8540356280282
19,-2900.5073821588885
20,-8826.907112991903
21,-3891.314418385271
22,-3928.6144341086037
23,-3687.8530441441108
24,22002.92341637821
25,4539.612852773629
26,21412.836684772978
27,16909.731142269913
28,3698.1724401549436
29,4938.250077560544
30,3023.713471384952
31,-5049.718327072682
32,2242.09819019516
33,-1043.6160657336004
34,5545.58368706028
35,4961.434930231422
36,3723.2192296579015
37,3574.766338167945
38,-3954.3129975867923
39,214.8830075203441
40,-1033.956768380478
41,4538.655175639549
42,129.45887920632958
43,2483.732156397775
44,3358.7005065935664
45,16197.30761729437
46,3018.9703159334604
47,12177.98911371897
48,-2753.498365924461
49,10092.586022553034
50,-9078.97627421352
51,5284.1625568124
52,-3689.1629191935062
53,5285.4042866567615
54,8641.926694145193
55,176.56554933427833
56,-5406.297038894147
57,1268.7223348545376
58,3248.201749114087
59,-8291.374766764231
60,-1262.8687327632215
61,-6340.993055022787
