,0
0,1000000.0
1,999752.5073655492
2,997646.6839828147
3,991906.4946417286
4,987874.9011522196
5,989458.144038026
6,992455.9344247421
7,981282.5872220851
8,988224.5916268015
9,975834.7945879635
10,976469.6307097359
11,965006.3340317912
12,972041.5584187116
13,986676.7448423924
14,976475.7060064267
15,988684.7234708497
16,976537.159785497
17,982593.6079006526
18,1008891.8988228316
19,1007210.489996689
20,988961.348072921
21,996027.7688853495
22,998616.2004390529
23,985438.4159687168
24,977933.6842601772
25,973319.1563324013
26,966888.6651663996
27,953159.8939029525
28,976168.8955323703
29,989387.9088656093
30,1008399.1188873634
31,1010125.4577497207
32,1012189.4143438285
33,1023753.7541075534
34,1013474.826941503
35,1017898.3493310487
36,1028104.7914392574
37,1018002.8626895753
38,1007035.5310559676
39,1028802.6638836353
40,1035590.9624321855
41,1040100.7940460463
42,1041101.2658762034
43,1050024.9081158265
44,1045052.9291352702
45,1053050.30323706
46,1052486.333183927
47,1065043.47224779
48,1064280.2442619163
49,1068739.8020705981
50,1076500.7093263501
51,1087119.5194110419
52,1089393.6834921103
53,1090885.204598243
54,1087681.4783201714
55,1077717.6196595998
56,1084272.4012728597
57,1085322.7129918279
58,1093036.3220544534
59,1095879.6888977268
60,1098097.4521425623
61,1103781.8414121864
62,1102133.3325038608
