,0
0,1539463.895103349
1,1539930.1337402472
2,1542437.5965944584
3,1543317.028201176
4,1546881.4050929055
5,1545658.2645731503
6,1543308.5522841061
7,1541007.4741767105
8,1540440.0032387087
9,1549044.144706704
10,1569417.0572759218
11,1550727.034737295
12,1566532.51042375
13,1566676.8124757994
14,1578190.561459955
15,1560660.5068968146
16,1567076.3536761513
17,1581604.6513277853
18,1584963.9728127425
19,1588631.6513238465
20,1591973.3036536635
21,1597967.453316168
22,1594595.4419875464
23,1582236.0978006115
24,1582698.481933235
25,1580829.6568531075
26,1603360.9187636508
27,1615777.6665214289
28,1608036.2190058555
29,1639813.5785946785
30,1639858.2772114023
31,1646139.5023855146
32,1642608.0883451304
33,1652960.7425234735
34,1654781.804929088
35,1649314.8613095316
36,1645484.0544580114
37,1642414.4117151103
38,1649434.016934904
39,1641765.392218269
40,1638176.073854688
41,1633001.297891382
42,1620292.8269602333
43,1615741.877720356
44,1637754.449800842
45,1639796.8602210116
46,1644511.2376986004
47,1647475.1295239427
48,1653769.0227169394
49,1656819.904770639
50,1651749.2617959285
51,1645525.6307722926
52,1659372.5353472305
53,1639331.288228614
54,1636848.9496671802
55,1651675.8614472742
56,1650128.6511023873
57,1657701.2015547627
58,1667023.7162616793
59,1691357.2069523782
60,1683302.3226815958
61,1681619.0607544445
62,1681619.0607544445
