,0
0,1416491.0261205174
1,1424939.2729287934
2,1426449.2894833307
3,1426820.7631946728
4,1425481.618247557
5,1426758.2778531504
6,1428345.3227499067
7,1424177.5135876043
8,1425402.4733165554
9,1425300.4333232169
10,1434337.2877591741
11,1450774.985561941
12,1451658.9109202272
13,1455239.6631399547
14,1452023.7902070172
15,1455503.3899416432
16,1446176.2626499585
17,1455733.2197891409
18,1443767.15154981
19,1424755.1489868197
20,1426226.4484026174
21,1431460.5533490665
22,1424579.4880768333
23,1423191.556006898
24,1418791.9913410973
25,1423707.59772366
26,1425825.7227721745
27,1416601.5357664719
28,1414183.291035887
29,1414770.4138792073
30,1413358.3841047862
31,1401716.939177306
32,1421297.9949927689
33,1422544.9073924946
34,1424960.3372069288
35,1433530.5671928346
36,1430676.7401223383
37,1432032.028851673
38,1431464.9553135904
39,1441736.1255586697
40,1448484.560090356
41,1457398.9675721682
42,1460000.1185190224
43,1470230.0128528029
44,1461338.8237849767
45,1450694.1705333053
46,1454830.1763612286
47,1465487.5434590455
48,1471842.4566742147
49,1478171.1365091733
50,1486850.0853626856
51,1480053.6235072317
52,1481664.1621839132
53,1490442.1722998037
54,1490098.8422744737
55,1488944.7229785146
56,1492681.9604196919
57,1495059.4517031086
58,1499495.101798705
59,1500274.73178131
60,1505933.9804008473
61,1499295.6221673572
62,1500067.1523998247
