,0
0,1525013.6160526318
1,1523346.2278895916
2,1523126.437486247
3,1523126.437486247
4,1523126.437486247
5,1523126.437486247
6,1523126.437486247
7,1523848.9534938617
8,1523594.6190446469
9,1533692.4618960884
10,1534381.4950285417
11,1533718.5637098055
12,1533718.5637098055
13,1533718.5637098055
14,1533718.5637098055
15,1533718.5637098055
16,1533718.5637098055
17,1533718.5637098055
18,1533718.5637098055
19,1533718.5637098055
20,1533718.5637098055
21,1533718.5637098055
22,1533718.5637098055
23,1533718.5637098055
24,1533718.5637098055
25,1533718.5637098055
26,1533718.5637098055
27,1533718.5637098055
28,1533718.5637098055
29,1533718.5637098055
30,1533718.5637098055
31,1533718.5637098055
32,1533718.5637098055
33,1533718.5637098055
34,1533718.5637098055
35,1533718.5637098055
36,1533718.5637098055
37,1533718.5637098055
38,1533718.5637098055
39,1533718.5637098055
40,1533718.5637098055
41,1533718.5637098055
42,1533718.5637098055
43,1533718.5637098055
44,1533718.5637098055
45,1533718.5637098055
46,1533718.5637098055
47,1533718.5637098055
48,1533718.5637098055
49,1533718.5637098055
50,1533718.5637098055
51,1533718.5637098055
52,1533718.5637098055
53,1533718.5637098055
54,1533718.5637098055
55,1533718.5637098055
56,1533718.5637098055
57,1539608.4801246768
58,1539463.895103349
59,1539463.895103349
60,1539463.895103349
61,1539463.895103349
62,1539463.895103349
