,0
0,1500067.1523998247
1,1533994.2368206624
2,1542851.4018586706
3,1541308.0002555985
4,1541308.2302555984
5,1541308.3602555986
6,1541307.5002555985
7,1541307.2502555985
8,1541306.9502555986
9,1541305.3602555986
10,1541304.2302555984
11,1541304.6402555986
12,1541303.0102555985
13,1541302.6902555986
14,1541302.7902555985
15,1541302.1202555986
16,1541301.0202555985
17,1541302.5002555985
18,1541303.7902555985
19,1541303.1102555986
20,1541301.6202555986
21,1541306.4302555986
22,1541311.0702555985
23,1541307.3702555986
24,1541307.6902555986
25,1541313.4802555984
26,1541311.0202555985
27,1541308.8702555986
28,1541308.9902555984
29,1541306.5102555985
30,1541305.0602555985
31,1541305.4902555984
32,1541305.3302555985
33,1541306.9102555986
34,1541306.9602555986
35,1541304.4102555986
36,1541302.7502555985
37,1541303.9702555984
38,1541304.4002555986
39,1541306.9402555986
40,1541306.5702555985
41,1541305.4602555986
42,1541306.2802555985
43,1541305.4902555984
44,1541305.1202555986
45,1541302.8302555985
46,1541303.1002555985
47,1541304.1402555986
48,1541304.7602555985
49,1541303.9302555986
50,1541302.8102555985
51,1538816.524820353
52,1540614.8775034235
53,1539658.955452562
54,1523192.5443849014
55,1511842.992466597
56,1528252.4957549917
57,1519974.2034537843
58,1519123.362647554
59,1526950.5683362281
60,1507212.362667087
61,1525052.5325540742
62,1538223.5582585442
