,0
0,9709.28149855812
1,-11272.626205959357
2,4117.602743851719
3,-5611.987141312566
4,10231.643922453048
5,4026.4573252031114
6,318.10030645364895
7,68.21295410930179
8,7271.457821248332
9,-5222.975503628375
10,476.88555959099904
11,-7707.754131866619
12,3027.5987999446224
13,-1165.0510943825357
14,-3254.8202908844687
15,-2086.688267726684
16,-16154.622603728669
17,-758.1988660057541
18,9657.235436910065
19,-6144.700149815995
20,-3395.23306341446
21,-816.9135431575123
22,4082.8602296791505
23,-1122.9326044966
24,10267.602309754817
25,-12893.566282620654
26,-469.53366385633126
27,-9345.894443202531
28,12520.312692349078
29,-13351.367780472152
30,1755.1019756670576
31,-4866.343906974886
32,3343.2732275391463
33,1487.4124584929086
34,14141.900955423713
35,7989.907684306614
36,-1059.0133021296933
37,2146.8816949359607
38,-7013.259254441131
39,-1131.4006378019694
40,-2384.064361564815
41,-6319.467868010281
42,4608.561550398823
43,136.36623117234558
44,1333.5622997793835
45,-426.0751133884769
46,-8618.470190654276
47,-8599.99478005222
48,-5328.4926626223605
49,-1548.2208402659744
50,5593.193756902358
51,-9615.317591222003
52,6863.512373925885
53,4743.232348797843
54,-2171.7318681757897
55,14232.348011558875
56,-40388.40371909388
57,-13781.934404864325
58,19089.231790487305
59,18527.14248650195
60,15213.261386189377
61,759.5996150621213
