,0
0,1681619.0607544445
1,1679922.5468487109
2,1679742.313303283
3,1679742.313303283
4,1679742.313303283
5,1679742.313303283
6,1679742.313303283
7,1679742.313303283
8,1679742.313303283
9,1679742.313303283
10,1679742.313303283
11,1679742.313303283
12,1679742.313303283
13,1679742.313303283
14,1679742.313303283
15,1679742.313303283
16,1679742.313303283
17,1679742.313303283
18,1679742.313303283
19,1679742.313303283
20,1679742.313303283
21,1679742.313303283
22,1679742.313303283
23,1679742.313303283
24,1679742.313303283
25,1679742.313303283
26,1679742.313303283
27,1679742.313303283
28,1679742.313303283
29,1679742.313303283
30,1679742.313303283
31,1679742.313303283
32,1679742.313303283
33,1679742.313303283
34,1679742.313303283
35,1679742.313303283
36,1679742.313303283
37,1679742.313303283
38,1679742.313303283
39,1679742.313303283
40,1679742.313303283
41,1679742.313303283
42,1679742.313303283
43,1679742.313303283
44,1679742.313303283
45,1679742.313303283
46,1679742.313303283
47,1679742.313303283
48,1679742.313303283
49,1679742.313303283
50,1679742.313303283
51,1679742.313303283
52,1679742.313303283
53,1679742.313303283
54,1679742.313303283
55,1679742.313303283
56,1679742.313303283
57,1678728.3697438824
58,1680488.9353664238
59,1680495.568648475
60,1681141.684206234
61,1685365.0005719326
62,1683845.5912354877
