,0
0,-7323.265337122371
1,1533.6374861551449
2,-3422.673665720038
3,-1281.9234896216076
4,-5494.3740067426115
5,-3310.8900025517214
6,-10233.505119983107
7,12996.150499099866
8,-6664.844498227816
9,-6668.297900125384
10,19036.78527023038
11,-6585.551763905911
12,19435.912156328326
13,16206.17799022724
14,-2118.1309447577223
15,-4000.9033500349615
16,-4389.377877591876
17,7199.486291356618
18,-1344.4020951671991
19,-421.3081546195317
20,-220.62687326781452
21,16.522238893434405
22,-952.3795276004821
23,-290.82021661871113
24,0.0
25,0.0
26,-132.89483122318052
27,-64.38044694578275
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,150.23933267663233
34,251.58129589329474
35,-182.1539741877932
36,-98.90909130242653
37,-1170.8767147774342
38,-1347.337895872537
39,2016.8070748816244
40,167.49128242046572
41,546.9526746729389
42,-967.8460866804235
43,1153.0079885008745
44,1555.7611799580045
45,4953.261708671693
46,445.5751163442619
47,3820.8253733895253
48,4093.8915121259633
49,-3229.2420588582754
50,-505.2409219467081
51,7723.351375516504
52,-5127.598866761196
53,-2920.105830217013
54,-4313.5582100420725
55,1021.3924682710785
56,5498.351052138023
57,-5548.83581557381
58,9754.042376990896
59,-8325.84133109264
60,-2880.097896002466
61,12655.007475041552
