,0
0,-30443.971309474437
1,1019.9509864810389
2,19961.34161566384
3,-11758.564938724041
4,12384.58392242575
5,-6147.777388809249
6,14075.291569594061
7,12365.889973578043
8,-8932.10612357175
9,-4952.468984998297
10,-1545.4735294091515
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,222.16353760124184
29,-67.66945349355228
30,-339.51257012435235
31,1682.0281807810534
32,-1995.0950096081942
33,-176.93934580753557
34,-1791.0547378868796
35,-642.0688276565634
36,-10676.962274203077
37,8625.244232654339
38,-8625.630833932897
39,5554.9861558759585
40,6876.527127308538
41,-2868.4187191862147
42,14559.931410277728
43,11692.802500033285
44,1657.7585994123947
45,-573.6337264268659
46,-1403.5040592502337
47,-1393.9174414954614
48,309.6778956039343
49,-2036.7933348927181
50,-6010.329646765022
51,-11182.754069180228
52,-6094.381507222308
53,-10756.770698896144
54,8935.509956929134
55,-22884.718020845205
56,1669.693543794565
57,-12405.140345070744
58,5794.312571622431
59,2523.5682573397644
60,-1512.0704240233172
61,0.0
