,0
0,1677976.9258950502
1,1677107.9267185812
2,1679121.6342079449
3,1678689.8639969956
4,1677355.7293194751
5,1677149.719668929
6,1677149.719668929
7,1677149.719668929
8,1677149.719668929
9,1677149.719668929
10,1677149.719668929
11,1677149.719668929
12,1677149.719668929
13,1677149.719668929
14,1677149.719668929
15,1677149.719668929
16,1677149.719668929
17,1677149.719668929
18,1677149.719668929
19,1677149.719668929
20,1677149.719668929
21,1677149.719668929
22,1677149.719668929
23,1677149.719668929
24,1677149.719668929
25,1677149.719668929
26,1677149.719668929
27,1677149.719668929
28,1677149.719668929
29,1677149.719668929
30,1677149.719668929
31,1677149.719668929
32,1677149.719668929
33,1668741.9712519646
34,1656015.1127348638
35,1655680.9739532387
36,1655680.9739532387
37,1653553.7253822235
38,1653390.8649937247
39,1653390.8649937247
40,1653390.8649937247
41,1653390.8649937247
42,1653390.8649937247
43,1653390.8649937247
44,1653390.8649937247
45,1653390.8649937247
46,1653390.8649937247
47,1653390.8649937247
48,1653390.8649937247
49,1653390.8649937247
50,1653390.8649937247
51,1653390.8649937247
52,1653390.8649937247
53,1653390.8649937247
54,1653390.8649937247
55,1653390.8649937247
56,1653390.8649937247
57,1653390.8649937247
58,1653390.8649937247
59,1653390.8649937247
60,1653390.8649937247
61,1653390.8649937247
62,1653390.8649937247
