,0
0,1683845.5912354877
1,1677896.549768148
2,1678313.032989462
3,1688412.4731221702
4,1687245.2929360021
5,1687245.2929360021
6,1687245.2929360021
7,1687245.2929360021
8,1687647.8993681623
9,1684761.0051032156
10,1683971.857676134
11,1686847.5052866058
12,1685154.07815393
13,1684388.7807289218
14,1684388.7807289218
15,1684388.7807289218
16,1684388.7807289218
17,1684388.7807289218
18,1683148.0110519396
19,1682942.48638925
20,1677466.3921467294
21,1681157.626350746
22,1679651.1808319215
23,1679177.2344410259
24,1679177.2344410259
25,1679177.2344410259
26,1679177.2344410259
27,1679177.2344410259
28,1679177.2344410259
29,1679177.2344410259
30,1679177.2344410259
31,1679177.2344410259
32,1679177.2344410259
33,1679177.2344410259
34,1679177.2344410259
35,1679177.2344410259
36,1679177.2344410259
37,1679177.2344410259
38,1679177.2344410259
39,1679177.2344410259
40,1679177.2344410259
41,1679177.2344410259
42,1679177.2344410259
43,1679177.2344410259
44,1679177.2344410259
45,1679177.2344410259
46,1679177.2344410259
47,1679177.2344410259
48,1679177.2344410259
49,1679177.2344410259
50,1679177.2344410259
51,1679177.2344410259
52,1679177.2344410259
53,1679177.2344410259
54,1679177.2344410259
55,1679177.2344410259
56,1679177.2344410259
57,1679177.2344410259
58,1679177.2344410259
59,1679177.2344410259
60,1679177.2344410259
61,1679177.2344410259
62,1679177.2344410259
