,0
0,1538223.5582585442
1,1517457.9334065516
2,1518477.8843930326
3,1538439.2260086965
4,1526680.6610699724
5,1539065.2449923982
6,1532917.467603589
7,1546992.759173183
8,1559358.649146761
9,1550426.5430231893
10,1545474.074038191
11,1543928.6005087818
12,1543928.6005087818
13,1543928.6005087818
14,1543928.6005087818
15,1543928.6005087818
16,1543928.6005087818
17,1543928.6005087818
18,1543928.6005087818
19,1543928.6005087818
20,1543928.6005087818
21,1543928.6005087818
22,1543928.6005087818
23,1543928.6005087818
24,1543928.6005087818
25,1543928.6005087818
26,1543928.6005087818
27,1543928.6005087818
28,1543928.6005087818
29,1544150.764046383
30,1544083.0945928895
31,1543743.5820227652
32,1545425.6102035462
33,1543430.515193938
34,1543253.5758481305
35,1541462.5211102436
36,1540820.452282587
37,1530143.490008384
38,1538768.7342410383
39,1530143.1034071054
40,1535698.0895629814
41,1542574.61669029
42,1539706.1979711037
43,1554266.1293813814
44,1565958.9318814147
45,1567616.6904808271
46,1567043.0567544003
47,1565639.55269515
48,1564245.6352536546
49,1564555.3131492585
50,1562518.5198143658
51,1556508.1901676008
52,1545325.4360984205
53,1539231.0545911982
54,1528474.283892302
55,1537409.7938492312
56,1514525.075828386
57,1516194.7693721806
58,1503789.6290271098
59,1509583.9415987323
60,1512107.509856072
61,1510595.4394320487
62,1510595.4394320487
