,0
0,1327767.384245967
1,1322238.8306430252
2,1323772.4681291804
3,1320349.7944634603
4,1319067.8709738387
5,1313573.496967096
6,1310262.6069645444
7,1300029.1018445613
8,1313025.2523436612
9,1306360.4078454333
10,1299692.109945308
11,1318728.8952155383
12,1312143.3434516324
13,1331579.2556079607
14,1347785.433598188
15,1345667.3026534303
16,1341666.3993033953
17,1337277.0214258034
18,1344476.50771716
19,1343132.1056219928
20,1342710.7974673733
21,1342490.1705941055
22,1342506.692832999
23,1341554.3133053984
24,1341263.4930887797
25,1341263.4930887797
26,1341263.4930887797
27,1341130.5982575566
28,1341066.2178106108
29,1341066.2178106108
30,1341066.2178106108
31,1341066.2178106108
32,1341066.2178106108
33,1341066.2178106108
34,1341216.4571432874
35,1341468.0384391807
36,1341285.884464993
37,1341186.9753736905
38,1340016.098658913
39,1338668.7607630405
40,1340685.5678379221
41,1340853.0591203426
42,1341400.0117950155
43,1340432.1657083351
44,1341585.173696836
45,1343140.934876794
46,1348094.1965854657
47,1348539.77170181
48,1352360.5970751995
49,1356454.4885873254
50,1353225.2465284672
51,1352720.0056065205
52,1360443.356982037
53,1355315.7581152758
54,1352395.6522850587
55,1348082.0940750167
56,1349103.4865432878
57,1354601.8375954258
58,1349053.001779852
59,1358807.0441568429
60,1350481.2028257502
61,1347601.1049297478
62,1360256.1124047893
